n_estados_visitados: 1 cks_encontradas: 0 tempo_de_execucao: 64 ms tempo_da_iteracao: 0 ms  memoria: 5345280
n_estados_visitados: 2 cks_encontradas: 0 tempo_de_execucao: 65 ms tempo_da_iteracao: 1 ms  memoria: 5419008
n_estados_visitados: 3 cks_encontradas: 0 tempo_de_execucao: 65 ms tempo_da_iteracao: 0 ms  memoria: 5419008
n_estados_visitados: 4 cks_encontradas: 0 tempo_de_execucao: 65 ms tempo_da_iteracao: 0 ms  memoria: 5419008
n_estados_visitados: 5 cks_encontradas: 0 tempo_de_execucao: 66 ms tempo_da_iteracao: 1 ms  memoria: 5419008
n_estados_visitados: 6 cks_encontradas: 1 tempo_de_execucao: 67 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 7 cks_encontradas: 1 tempo_de_execucao: 67 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 8 cks_encontradas: 1 tempo_de_execucao: 67 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 9 cks_encontradas: 2 tempo_de_execucao: 68 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 10 cks_encontradas: 2 tempo_de_execucao: 68 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 11 cks_encontradas: 2 tempo_de_execucao: 69 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 12 cks_encontradas: 2 tempo_de_execucao: 69 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 13 cks_encontradas: 2 tempo_de_execucao: 69 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 14 cks_encontradas: 2 tempo_de_execucao: 70 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 15 cks_encontradas: 2 tempo_de_execucao: 70 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 16 cks_encontradas: 2 tempo_de_execucao: 70 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 17 cks_encontradas: 2 tempo_de_execucao: 70 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 18 cks_encontradas: 2 tempo_de_execucao: 71 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 19 cks_encontradas: 2 tempo_de_execucao: 71 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 20 cks_encontradas: 2 tempo_de_execucao: 72 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 21 cks_encontradas: 3 tempo_de_execucao: 73 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 22 cks_encontradas: 3 tempo_de_execucao: 73 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 23 cks_encontradas: 3 tempo_de_execucao: 74 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 24 cks_encontradas: 3 tempo_de_execucao: 74 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 25 cks_encontradas: 3 tempo_de_execucao: 75 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 26 cks_encontradas: 3 tempo_de_execucao: 75 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 27 cks_encontradas: 3 tempo_de_execucao: 75 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 28 cks_encontradas: 3 tempo_de_execucao: 76 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 29 cks_encontradas: 3 tempo_de_execucao: 76 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 30 cks_encontradas: 3 tempo_de_execucao: 76 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 31 cks_encontradas: 3 tempo_de_execucao: 77 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 32 cks_encontradas: 3 tempo_de_execucao: 77 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 33 cks_encontradas: 3 tempo_de_execucao: 78 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 34 cks_encontradas: 3 tempo_de_execucao: 78 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 35 cks_encontradas: 3 tempo_de_execucao: 79 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 36 cks_encontradas: 4 tempo_de_execucao: 79 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 37 cks_encontradas: 4 tempo_de_execucao: 80 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 38 cks_encontradas: 4 tempo_de_execucao: 80 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 39 cks_encontradas: 4 tempo_de_execucao: 80 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 40 cks_encontradas: 4 tempo_de_execucao: 81 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 41 cks_encontradas: 4 tempo_de_execucao: 82 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 42 cks_encontradas: 4 tempo_de_execucao: 82 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 43 cks_encontradas: 4 tempo_de_execucao: 83 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 44 cks_encontradas: 4 tempo_de_execucao: 83 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 45 cks_encontradas: 4 tempo_de_execucao: 83 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 46 cks_encontradas: 4 tempo_de_execucao: 84 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 47 cks_encontradas: 4 tempo_de_execucao: 84 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 48 cks_encontradas: 4 tempo_de_execucao: 84 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 49 cks_encontradas: 4 tempo_de_execucao: 85 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 50 cks_encontradas: 4 tempo_de_execucao: 85 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 51 cks_encontradas: 4 tempo_de_execucao: 86 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 52 cks_encontradas: 4 tempo_de_execucao: 86 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 53 cks_encontradas: 4 tempo_de_execucao: 87 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 54 cks_encontradas: 4 tempo_de_execucao: 88 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 55 cks_encontradas: 4 tempo_de_execucao: 88 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 56 cks_encontradas: 4 tempo_de_execucao: 88 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 57 cks_encontradas: 4 tempo_de_execucao: 88 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 58 cks_encontradas: 4 tempo_de_execucao: 89 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 59 cks_encontradas: 4 tempo_de_execucao: 90 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 60 cks_encontradas: 4 tempo_de_execucao: 90 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 61 cks_encontradas: 4 tempo_de_execucao: 90 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 62 cks_encontradas: 4 tempo_de_execucao: 91 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 63 cks_encontradas: 4 tempo_de_execucao: 91 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 64 cks_encontradas: 4 tempo_de_execucao: 92 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 65 cks_encontradas: 4 tempo_de_execucao: 92 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 66 cks_encontradas: 4 tempo_de_execucao: 92 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 67 cks_encontradas: 4 tempo_de_execucao: 93 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 68 cks_encontradas: 4 tempo_de_execucao: 93 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 69 cks_encontradas: 4 tempo_de_execucao: 93 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 70 cks_encontradas: 4 tempo_de_execucao: 94 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 71 cks_encontradas: 4 tempo_de_execucao: 95 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 72 cks_encontradas: 4 tempo_de_execucao: 95 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 73 cks_encontradas: 4 tempo_de_execucao: 96 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 74 cks_encontradas: 4 tempo_de_execucao: 96 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 75 cks_encontradas: 4 tempo_de_execucao: 96 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 76 cks_encontradas: 4 tempo_de_execucao: 97 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 77 cks_encontradas: 4 tempo_de_execucao: 97 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 78 cks_encontradas: 4 tempo_de_execucao: 97 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 79 cks_encontradas: 4 tempo_de_execucao: 98 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 80 cks_encontradas: 4 tempo_de_execucao: 98 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 81 cks_encontradas: 4 tempo_de_execucao: 98 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 82 cks_encontradas: 4 tempo_de_execucao: 99 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 83 cks_encontradas: 4 tempo_de_execucao: 99 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 84 cks_encontradas: 4 tempo_de_execucao: 100 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 85 cks_encontradas: 4 tempo_de_execucao: 101 ms tempo_da_iteracao: 1 ms  memoria: 5480448
n_estados_visitados: 86 cks_encontradas: 4 tempo_de_execucao: 101 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 87 cks_encontradas: 4 tempo_de_execucao: 101 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 88 cks_encontradas: 4 tempo_de_execucao: 101 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 89 cks_encontradas: 4 tempo_de_execucao: 101 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 90 cks_encontradas: 4 tempo_de_execucao: 102 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 91 cks_encontradas: 4 tempo_de_execucao: 102 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 92 cks_encontradas: 4 tempo_de_execucao: 102 ms tempo_da_iteracao: 0 ms  memoria: 5480448
n_estados_visitados: 93 cks_encontradas: 4 tempo_de_execucao: 103 ms tempo_da_iteracao: 0 ms  memoria: 5480448
