n_estados_visitados: 1 cks_encontradas: 1 tempo_de_execucao: 2962 ms tempo_da_iteracao: 1 ms  memoria: 5500928
n_estados_visitados: 2 cks_encontradas: 2 tempo_de_execucao: 2962 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 3 cks_encontradas: 3 tempo_de_execucao: 2963 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 4 cks_encontradas: 4 tempo_de_execucao: 2963 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 5 cks_encontradas: 4 tempo_de_execucao: 2964 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 6 cks_encontradas: 4 tempo_de_execucao: 2964 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 7 cks_encontradas: 4 tempo_de_execucao: 2964 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 8 cks_encontradas: 4 tempo_de_execucao: 2964 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 9 cks_encontradas: 4 tempo_de_execucao: 2965 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 10 cks_encontradas: 4 tempo_de_execucao: 2965 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 11 cks_encontradas: 4 tempo_de_execucao: 2965 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 12 cks_encontradas: 4 tempo_de_execucao: 2966 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 13 cks_encontradas: 4 tempo_de_execucao: 2966 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 14 cks_encontradas: 4 tempo_de_execucao: 2966 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 15 cks_encontradas: 4 tempo_de_execucao: 2967 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 16 cks_encontradas: 4 tempo_de_execucao: 2967 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 17 cks_encontradas: 4 tempo_de_execucao: 2967 ms tempo_da_iteracao: 0 ms  memoria: 5517312
n_estados_visitados: 18 cks_encontradas: 4 tempo_de_execucao: 2968 ms tempo_da_iteracao: 1 ms  memoria: 5517312
n_estados_visitados: 19 cks_encontradas: 4 tempo_de_execucao: 2968 ms tempo_da_iteracao: 0 ms  memoria: 5517312
